channel_model,param1,param2,k,n,depth,blocks,seed,block_recovery_rate,residual_packet_loss,encode_us_mean,encode_us_p99,decode_us_mean,decode_us_p99,interleaver_us_mean,interleaver_us_p99,peak_mem_bytes,latency_ms
uniform,0.1,,8,12,8,10000,8956225920410514288,0.995100,0.002037,17.541,21.481,6.191,13.516,,,302784,102.280
uniform,0.1,,8,12,8,10000,4963298540812630212,0.994500,0.002325,17.547,21.461,6.219,13.385,,,302784,102.280
uniform,0.1,,8,12,8,10000,2439454108412273680,0.995600,0.001788,17.492,21.361,6.221,13.406,,,302784,102.280
uniform,0.2,,8,12,8,10000,1279351212776385464,0.925700,0.033400,17.469,21.381,7.848,17.613,,,302784,102.280
uniform,0.2,,8,12,8,10000,6841374885923753342,0.926900,0.032488,17.551,21.440,7.886,17.674,,,302784,102.280
uniform,0.2,,8,12,8,10000,10360611627645914588,0.929700,0.031413,17.603,21.440,7.875,17.693,,,302784,102.280
uniform,0.3,,8,12,8,10000,8530594371244411123,0.717100,0.131675,17.486,21.150,9.143,17.694,,,302784,102.280
uniform,0.3,,8,12,8,10000,1537921417400308620,0.726100,0.127463,17.477,21.340,9.128,17.673,,,302784,102.280
uniform,0.3,,8,12,8,10000,3090374623642351914,0.732900,0.125375,17.547,21.390,9.203,17.804,,,302784,102.280
ge,2,100,8,12,8,10000,9930151177248505883,1.000000,0.000000,17.591,21.521,4.819,8.967,,,302784,102.280
ge,2,100,8,12,8,10000,4075005393880939215,1.000000,0.000000,17.521,21.390,4.856,8.977,,,302784,102.280
ge,2,100,8,12,8,10000,768986758923169742,1.000000,0.000000,17.507,21.381,4.879,9.078,,,302784,102.280
ge,5,100,8,12,8,10000,6030165463667840188,0.998700,0.000612,17.567,21.540,5.904,13.435,,,302784,102.280
ge,5,100,8,12,8,10000,17795276154531131830,0.998100,0.000937,17.781,21.831,6.068,15.720,,,302784,102.280
ge,5,100,8,12,8,10000,15711680820221654079,0.998300,0.000763,17.520,21.460,5.943,13.426,,,302784,102.280
ge,10,100,8,12,8,10000,15835904419905842004,0.973000,0.013888,17.509,21.561,7.494,17.704,,,302784,102.280
ge,10,100,8,12,8,10000,10877753495252780401,0.971200,0.014375,17.486,21.641,7.473,17.664,,,302784,102.280
