channel_model,param1,param2,k,n,depth,blocks,seed,block_recovery_rate,residual_packet_loss,encode_us_mean,encode_us_p99,decode_us_mean,decode_us_p99,interleaver_us_mean,interleaver_us_p99,peak_mem_bytes,latency_ms
ge,5,100,8,12,4,10000,1200606846042593871,0.986700,0.005975,17.005,19.738,7.133,17.103,0.415,0.611,232128,53.640
ge,5,100,8,12,4,10000,7029625570506231135,0.987500,0.005712,16.946,19.758,6.822,17.073,0.452,0.616,232128,53.640
ge,5,100,8,12,4,10000,3666613055461966506,0.988800,0.005550,17.269,21.921,6.982,17.102,0.429,0.756,232128,53.640
ge,10,100,8,12,4,10000,470634412306107487,0.920600,0.046187,17.036,20.709,8.565,17.172,0.416,0.613,232128,53.640
ge,10,100,8,12,4,10000,17724023678531216040,0.925500,0.042263,17.053,21.070,8.349,17.623,0.418,0.676,232128,53.640
ge,10,100,8,12,4,10000,18098838230210493465,0.920700,0.045125,17.066,21.070,8.222,17.173,0.421,0.616,232128,53.640
ge,20,100,8,12,4,10000,7358904933284410745,0.820200,0.114212,16.971,19.897,9.298,17.102,0.414,0.608,232128,53.640
ge,20,100,8,12,4,10000,17577343360647672371,0.820400,0.118650,17.046,21.050,9.577,18.135,0.417,0.608,232128,53.640
ge,20,100,8,12,4,10000,15040285114852173228,0.820800,0.114513,17.024,20.228,9.140,17.152,0.420,0.621,232128,53.640
ge,2,1000,8,12,4,10000,11304037893462708558,1.000000,0.000000,17.104,21.471,4.545,8.687,0.415,0.643,232128,53.640
ge,2,1000,8,12,4,10000,10675765895280261590,1.000000,0.000000,17.084,21.050,4.734,8.787,0.418,0.611,232128,53.640
ge,2,1000,8,12,4,10000,7434738299858078886,1.000000,0.000000,16.999,19.777,4.526,8.746,0.409,0.601,232128,53.640
ge,5,1000,8,12,4,10000,12379409511084997316,0.999900,0.000063,17.001,19.928,6.681,17.143,0.436,0.608,232128,53.640
ge,5,1000,8,12,4,10000,6248661471733801888,0.998900,0.000500,16.988,19.878,6.419,16.992,0.408,0.601,232128,53.640
ge,5,1000,8,12,4,10000,6028805525172061198,0.999700,0.000037,17.445,27.452,6.001,16.982,0.424,0.774,232128,53.640
ge,10,1000,8,12,4,10000,13148117461830021618,0.991500,0.004913,17.128,21.300,8.308,21.451,0.436,0.749,232128,53.640
ge,10,1000,8,12,4,10000,2460685900297177355,0.992500,0.004825,17.118,21.160,8.239,17.173,0.417,0.653,232128,53.640
ge,10,1000,8,12,4,10000,8850736538529437608,0.996300,0.002087,16.976,19.857,8.484,18.526,0.455,0.626,232128,53.640
ge,20,1000,8,12,4,10000,2758176821205310302,0.975400,0.016275,17.058,20.048,9.903,17.854,0.412,0.611,232128,53.640
ge,20,1000,8,12,4,10000,2902604501212797299,0.982100,0.011700,16.937,19.828,9.093,17.674,0.471,0.628,232128,53.640
ge,20,1000,8,12,4,10000,13024206281024316028,0.985000,0.009737,17.050,20.358,9.021,18.144,0.416,0.691,232128,53.640
periodic,5,1,8,12,4,10000,11158954617063123305,1.000000,0.000000,16.934,19.898,6.879,9.247,0.373,0.481,232128,53.640
periodic,5,1,8,12,4,10000,15645588381180510326,1.000000,0.000000,16.961,19.787,6.882,9.588,0.331,0.448,232128,53.640
periodic,5,1,8,12,4,10000,18286053710173348128,1.000000,0.000000,16.938,19.767,6.919,9.638,0.375,0.466,232128,53.640
periodic,10,1,8,12,4,10000,9376543757133648495,1.000000,0.000000,16.960,19.808,6.873,9.287,0.327,0.433,232128,53.640
periodic,10,1,8,12,4,10000,14850215694019629216,1.000000,0.000000,16.947,19.968,6.912,9.668,0.346,0.471,232128,53.640
periodic,10,1,8,12,4,10000,10568638685320411501,1.000000,0.000000,16.969,20.038,6.945,9.709,0.332,0.471,232128,53.640
periodic,20,1,8,12,4,10000,15287656019142751604,1.000000,0.000000,17.136,21.370,6.954,10.721,0.369,0.483,232128,53.640
periodic,20,1,8,12,4,10000,16185380380789096309,1.000000,0.000000,16.954,19.968,6.890,9.709,0.349,0.430,232128,53.640
periodic,20,1,8,12,4,10000,5538152792491274968,1.000000,0.000000,16.969,19.958,6.912,9.929,0.364,0.455,232128,53.640
uniform,0.01,,8,12,8,10000,8277919449578317505,1.000000,0.000000,17.022,20.419,4.796,8.807,0.414,0.652,302784,102.280
uniform,0.01,,8,12,8,10000,12856693253317439264,1.000000,0.000000,16.957,19.968,4.928,8.917,0.424,0.658,302784,102.280
uniform,0.01,,8,12,8,10000,13854438997287381787,1.000000,0.000000,16.971,20.008,4.670,8.897,0.423,0.633,302784,102.280
uniform,0.05,,8,12,8,10000,10607499239734584643,0.999900,0.000037,16.938,20.028,5.121,12.835,0.422,0.532,302784,102.280
uniform,0.05,,8,12,8,10000,12478428404986882045,0.999800,0.000100,16.959,19.817,5.157,12.835,0.415,0.584,302784,102.280
uniform,0.05,,8,12,8,10000,7546330715999462659,0.999800,0.000075,16.995,21.040,5.349,12.834,0.418,0.636,302784,102.280
uniform,0.1,,8,12,8,10000,8956225920410514288,0.995100,0.002037,17.237,21.520,6.088,14.217,0.436,0.760,302784,102.280
uniform,0.1,,8,12,8,10000,4963298540812630212,0.994500,0.002325,16.958,20.058,6.015,13.004,0.427,0.693,302784,102.280
uniform,0.1,,8,12,8,10000,2439454108412273680,0.995600,0.001788,17.107,21.450,6.103,13.766,0.429,0.708,302784,102.280
uniform,0.2,,8,12,8,10000,1279351212776385464,0.925700,0.033400,17.119,21.150,7.676,17.102,0.438,0.681,302784,102.280
uniform,0.2,,8,12,8,10000,6841374885923753342,0.926900,0.032488,16.994,20.870,7.643,17.112,0.461,0.687,302784,102.280
uniform,0.2,,8,12,8,10000,10360611627645914588,0.929700,0.031413,16.949,20.058,7.642,17.103,0.435,0.691,302784,102.280
uniform,0.3,,8,12,8,10000,8530594371244411123,0.717100,0.131675,17.043,20.238,8.941,17.142,0.443,0.758,302784,102.280
uniform,0.3,,8,12,8,10000,1537921417400308620,0.726100,0.127463,17.013,20.078,8.894,17.123,0.449,0.598,302784,102.280
uniform,0.3,,8,12,8,10000,3090374623642351914,0.732900,0.125375,17.014,20.118,8.880,17.132,0.447,0.695,302784,102.280
ge,2,100,8,12,8,10000,9930151177248505883,1.000000,0.000000,16.981,20.409,4.684,8.687,0.418,0.652,302784,102.280
